idx	vel_cv_pass1	vel_cv_pass2	vel_cv_check
269	5.440356048	12.41521919	12.41521919
270	13.66919826	6.741284692	13.66919826
271	5.456211271	9.293942497	9.293942497
272	11.16904744	11.37893993	11.37893993
273	2.188170108	15.9253564	15.9253564
274	9.835966525	13.87917545	13.87917545
275	9.998580922	15.2119495	15.2119495
276	9.849553042	22.18794988	22.18794988
277	14.91225461	16.23294576	16.23294576
278	14.9015994	16.19720727	16.19720727
279	3.971583015	8.38359139	8.38359139
280	10.34859795	7.674000336	10.34859795
281	4.651899028	7.941873999	7.941873999
282	5.335340494	18.05746928	18.05746928
283	16.0630574	11.16565201	16.0630574
284	2.489314295	8.906591253	8.906591253
285	4.09849127	8.063694297	8.063694297
286	2.59015916	7.647739572	7.647739572
287	4.984996151	12.5505502	12.5505502
288	6.838548513	22.33881406	22.33881406
289	5.939924636	5.121570326	5.939924636
290	4.363486954	20.32690351	20.32690351
291	2.88696761	7.865782601	7.865782601
292	3.512276633	8.97452689	8.97452689
293	8.883470188	10.18973229	10.18973229
294	6.242099793	7.267824818	7.267824818
295	2.806926234	12.37804863	12.37804863
296	12.90149966	10.43453859	12.90149966
297	7.431680164	11.59449986	11.59449986
298	4.190524104	11.67638097	11.67638097
299	3.258665249	18.49197113	18.49197113
300	3.362128363	14.80400467	14.80400467
301	7.316702279	11.48042518	11.48042518
302	3.853202841	6.496773473	6.496773473
303	4.669819736	9.257376993	9.257376993
304	3.223626092	11.75213009	11.75213009
305	14.03059081	28.87701305	28.87701305
306	8.061067846	6.369915822	8.061067846
307	2.534886257	14.95198786	14.95198786
308	2.410748771	14.74775796	14.74775796
309	3.003221586	16.90029282	16.90029282
310	15.51204598	10.68021099	15.51204598
311	9.43331968	17.55001603	17.55001603
312	14.05127592	10.82032726	14.05127592
313	3.570081442	7.813533404	7.813533404
314	4.47435349	6.256183165	6.256183165
315	14.68591487	23.93923034	23.93923034
316	8.403694218	13.21871334	13.21871334
317	5.236012794	9.15045629	9.15045629
318	11.86009541	6.454567764	11.86009541
319	14.2052538	12.01798221	14.2052538
320	14.39798273	7.53152786	14.39798273
321	14.34803455	17.60793647	17.60793647
322	8.29700047	17.61468617	17.61468617
323	2.936959455	11.83704018	11.83704018
324	5.688100897	8.966850494	8.966850494
325	7.368876028	13.05303927	13.05303927
326	6.550106256	10.79756756	10.79756756
327	14.53029434	15.66622665	15.66622665
328	7.048603654	8.724410135	8.724410135
329	14.66178157	15.03099553	15.03099553
330	7.673970712	12.35334112	12.35334112
331	2.224365927	21.06516692	21.06516692
332	3.479613225	14.84618544	14.84618544
333	2.330166134	9.792486992	9.792486992
334	11.23079485	6.565656566	11.23079485
335	3.718825539	5.711598559	5.711598559
336	9.144765464	11.64797923	11.64797923
337	15.74766588	15.55449014	15.74766588
338	2.217544019	7.125427931	7.125427931
339	7.668130006	15.36702913	15.36702913
340	4.853187721	10.3116414	10.3116414
341	9.601925886	12.98895365	12.98895365
342	7.070840256	6.227144817	7.070840256
343	11.4801288	22.78887449	22.78887449
344	4.262289906	6.688494091	6.688494091
345	14.53058041	23.28663212	23.28663212
346	8.190020476	4.421809645	8.190020476
347	2.049460497	6.44231115	6.44231115
348	10.84719143	6.344151637	10.84719143
349	9.84534135	10.62451491	10.62451491
350	16.26990894	15.65872149	16.26990894
351	7.836333456	22.6838561	22.6838561
352	8.111253204	10.60486451	10.60486451
353	6.450672171	7.215450663	7.215450663
354	4.856268979	17.15292125	17.15292125
355	11.82308633	6.36959592	11.82308633
356	14.28359479	11.63901684	14.28359479
357	6.002929639	6.845943621	6.845943621
358	5.483685652	7.63029558	7.63029558
359	2.652992036	12.90394359	12.90394359
360	8.50018145	12.75473535	12.75473535
361	9.58407669	13.80860746	13.80860746
362	2.368038406	8.613346153	8.613346153
363	8.041422367	20.45346105	20.45346105
364	2.928726533	11.15696836	11.15696836
